Datas;Natural Gas;LPG;C5+;Ethane;Propane;Butane
jan/18;251;490.0037768;623;200;470;477
fev/18;223;467.0087564;592;179;456;451
mar/18;224;430.0502131;639;186;409;421
abr/18;228;443.7995118;658;205;428;431
mai/18;233;540.0235046;701;195;480;545
jun/18;238;536.6900462;652;242;459;550
jul/18;256;557.554185;662;265;491;565
ago/18;249;542.6591114;663;291;510;534
set/18;247;605.1216949;685;391;551;604
out/18;255;522.5252824;670;309;499;510
nov/18;247;406.9172453;484;239;387;398
dez/18;245;371.5507774;437;219;351;365
jan/19;281;376.187433;455;231;344;375
fev/19;242;391.6586398;508;228;348;395
mar/19;233;374.8323026;549;200;346;372
abr/19;253;353.9097391;571;169;328;350
mai/19;254;303.7812762;537;168;299;292
jun/19;245;241.1969745;461;129;226;237
jul/19;244;261.1295626;474;107;230;264
ago/19;246;247.8168268;436;119;218;251
set/19;249;282.2079255;472;156;233;293
out/19;278;311.2044693;486;139;242;331
nov/19;275;342.0251647;528;146;280;357
dez/19;291;323.3892822;547;129;260;340
jan/20;364;323.665177;519;110;210;365
fev/20;377;273.6616783;459;106;206;294
mar/20;349;175.6427463;248;92;168;171
abr/20;372;165.989674;153;96;170;157
mai/20;370;208.1610061;223;163;215;195
jun/20;360;261.6131899;171;162;257;252
jul/20;365;265.3653592;301;159;258;257
ago/20;387;281.2309333;373;178;270;274
set/20;374;283.5987599;375;147;258;283
out/20;409;297.3999917;383;160;273;296
;461;;;;;
;457;;;;;
;471;;;;;
;480;;;;;
;467;;;;;
;462;;;;;
;452;;;;;
;465;;;;;
;472;;;;;
;461;;;;;
;452;;;;;
;448;;;;;
;428;;;;;
;430;;;;;
;421;;;;;
;423;;;;;
;374;;;;;
;344;;;;;
;288;;;;;
;314;;;;;
;308;;;;;
;232;;;;;
;234;;;;;
;225;;;;;
;311;;;;;
;328;;;;;
;315;;;;;
;320;;;;;
;307;;;;;
